Gene Name,Functional Category
Rv2990c,conserved-hypothetical
Rv2991,conserved-hypothetical
Rv2998,conserved-hypothetical
Rv2998A,conserved-hypothetical
Rv3005c,conserved-hypothetical
Rv3008,conserved-hypothetical
Rv3013,conserved-hypothetical
Rv3015c,conserved-hypothetical
Rv3026c,conserved-hypothetical
Rv3030,conserved-hypothetical
Rv3031,conserved-hypothetical
Rv3032A,conserved-hypothetical
Rv3033,conserved-hypothetical
Rv3035,conserved-hypothetical
Rv3037c,conserved-hypothetical
Rv3038c,conserved-hypothetical
Rv3040c,conserved-hypothetical
Rv3046c,conserved-hypothetical
Rv3047c,conserved-hypothetical
Rv3054c,conserved-hypothetical
Rv3067,conserved-hypothetical
Rv3071,conserved-hypothetical
Rv3072c,conserved-hypothetical
Rv3073c,conserved-hypothetical
Rv3074,conserved-hypothetical
Rv3075c,conserved-hypothetical
Rv3076,conserved-hypothetical
Rv3079c,conserved-hypothetical
Rv3081,conserved-hypothetical
Rv3090,conserved-hypothetical
Rv3091,conserved-hypothetical
Rv3094c,conserved-hypothetical
Rv3096,conserved-hypothetical
Rv3098c,conserved-hypothetical
Rv3099c,conserved-hypothetical
Rv3103c,conserved-hypothetical
Rv3108,conserved-hypothetical
Rv3114,conserved-hypothetical
Rv3120,conserved-hypothetical
Rv3122,conserved-hypothetical
Rv3123,conserved-hypothetical
Rv3126c,conserved-hypothetical
Rv3127,conserved-hypothetical
Rv3128c,conserved-hypothetical
